Time Stamp          EXEC TI BUSFR BUSHR BUSDH BUSSD IDLFR IDLHR IDLSD BLTSL GPRST BUDTF BUDTH IDDTH DAPSI BUSDF BUDF8
2017-11-23 02:00:00   6.591 00000 00000 00000 00000 00221 00000 00288 00128 00859 00000 00000 00000 00000 00000 00000
2017-11-23 02:00:15   6.596 00000 00000 00000 00000 00175 00000 00288 00128 00905 00000 00000 00000 00000 00000 00000
2017-11-23 02:00:30   6.600 00000 00000 00000 00000 00179 00000 00288 00128 00901 00000 00000 00000 00000 00000 00000
2017-11-23 02:01:15   6.612 00000 00000 00000 00000 00184 00000 00288 00128 00896 00000 00000 00000 00000 00000 00000
2017-11-23 02:01:30   6.616 00000 00000 00000 00000 00160 00000 00288 00128 00920 00000 00000 00000 00000 00000 00000
2017-11-23 02:01:45   6.621 00000 00000 00000 00000 00174 00000 00288 00128 00906 00000 00000 00000 00000 00000 00000
2017-11-23 02:02:00   6.625 00000 00000 00000 00000 00166 00000 00288 00128 00914 00000 00000 00000 00000 00000 00000
2017-11-23 02:02:15   6.629 00000 00000 00000 00000 00186 00000 00288 00128 00894 00000 00000 00000 00000 00000 00000
2017-11-23 02:02:30   6.633 00000 00000 00000 00000 00170 00000 00288 00128 00910 00000 00000 00000 00000 00000 00000
2017-11-23 02:04:30   0.003 00000 00000 00000 00000 00216 00000 00288 00128 00864 00000 00000 00000 00000 00000 00000
2017-11-23 02:04:45   0.007 00000 00000 00000 00000 00398 00000 00288 00128 00682 00000 00000 00000 00000 00000 00000
2017-11-23 02:05:00   0.011 00000 00000 00000 00000 00492 00000 00288 00128 00588 00000 00000 00000 00000 00000 00000
2017-11-23 02:05:15   0.015 00000 00000 00000 00000 00570 00000 00288 00128 00510 00000 00000 00000 00000 00000 00000
2017-11-23 02:05:30   0.019 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:05:45   0.024 00000 00000 00000 00000 00408 00000 00288 00128 00672 00000 00000 00000 00000 00000 00000
2017-11-23 02:06:00   0.028 00000 00000 00000 00000 00312 00000 00288 00128 00768 00000 00000 00000 00000 00000 00000
2017-11-23 02:06:15   0.032 00000 00000 00000 00000 00273 00000 00288 00128 00807 00000 00000 00000 00000 00000 00000
2017-11-23 02:06:30   0.036 00000 00000 00000 00000 00289 00000 00288 00128 00791 00000 00000 00000 00000 00000 00000
2017-11-23 02:06:45   0.040 00000 00000 00000 00000 00308 00000 00288 00128 00772 00000 00000 00000 00000 00000 00000
2017-11-23 02:07:00   0.044 00000 00000 00000 00000 00332 00000 00288 00128 00748 00000 00000 00000 00000 00000 00000
2017-11-23 02:07:15   0.049 00000 00000 00000 00000 00515 00000 00288 00128 00565 00000 00000 00000 00000 00000 00000
2017-11-23 02:07:30   0.053 00000 00000 00000 00000 00561 00000 00288 00128 00519 00000 00000 00000 00000 00000 00000
2017-11-23 02:07:45   0.057 00000 00000 00000 00000 00564 00000 00288 00128 00516 00000 00000 00000 00000 00000 00000
2017-11-23 02:08:00   0.061 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:08:15   0.065 00000 00000 00000 00000 00556 00000 00288 00128 00524 00000 00000 00000 00000 00000 00000
2017-11-23 02:08:30   0.069 00000 00000 00000 00000 00556 00000 00288 00128 00524 00000 00000 00000 00000 00000 00000
2017-11-23 02:08:45   0.074 00000 00000 00000 00000 00572 00000 00288 00128 00508 00000 00000 00000 00000 00000 00000
2017-11-23 02:09:00   0.078 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:09:15   0.082 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:09:30   0.086 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:09:45   0.090 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:10:00   0.094 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:10:15   0.099 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:10:30   0.103 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:10:45   0.107 00000 00000 00000 00000 00572 00000 00288 00128 00508 00000 00000 00000 00000 00000 00000
2017-11-23 02:11:00   0.111 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:11:15   0.115 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:11:30   0.119 00000 00000 00000 00000 00568 00000 00288 00128 00512 00000 00000 00000 00000 00000 00000
2017-11-23 02:11:45   0.124 00000 00000 00000 00000 00565 00000 00288 00128 00515 00000 00000 00000 00000 00000 00000
2017-11-23 02:12:00   0.128 00000 00000 00000 00000 00553 00000 00288 00128 00527 00000 00000 00000 00000 00000 00000
2017-11-23 02:12:15   0.132 00000 00000 00000 00000 00565 00000 00288 00128 00515 00000 00000 00000 00000 00000 00000
2017-11-23 02:12:30   0.136 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
